City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Cockburn Town,TC,80.6,scattered clouds,21.4612,-71.1419,Cockburn Town
5,Rikitea,PF,79.07,clear sky,-23.1203,-134.9692,Rikitea
7,Calderitas,MX,80.6,scattered clouds,18.55,-88.25,Chetumal
17,Puerto Ayora,EC,82.4,scattered clouds,-0.7393,-90.3518,Puerto Ayora
19,Atuona,PF,79.39,light rain,-9.8,-139.0333,Atuona
21,Georgetown,MY,79.0,few clouds,5.4112,100.3354,George Town
24,Avarua,CK,86.0,broken clouds,-21.2078,-159.775,Avarua District
26,Sibolga,ID,75.22,overcast clouds,1.7427,98.7792,Sibolga
28,Butaritari,KI,81.32,light rain,3.0707,172.7902,Isles Sunset Lodge
29,Merauke,ID,83.64,overcast clouds,-8.4667,140.3333,Urum
33,Souillac,MU,77.0,broken clouds,-20.5167,57.5167,Souillac
41,Ugoofaaru,MV,81.28,broken clouds,5.6667,73.0,Ungoofaaru
42,Les Cayes,HT,76.06,scattered clouds,18.2,-73.75,Les Cayes
53,Bengkulu,ID,76.17,broken clouds,-3.8004,102.2655,Bengkulu
54,Maceio,BR,77.0,clear sky,-9.6658,-35.7353,Maceió
55,Srandakan,ID,77.83,broken clouds,-7.9386,110.2506,Bantul
64,Saint-Philippe,RE,78.8,light rain,-21.3585,55.7679,Saint-Philippe
66,Caibarien,CU,78.8,scattered clouds,22.5206,-79.4669,Caibarién
69,Ancud,CL,78.8,clear sky,-41.8697,-73.8203,Ancud
71,Touros,BR,78.8,clear sky,-5.1989,-35.4608,Touros
75,Vaini,TO,84.2,broken clouds,-21.2,-175.2,Nukuhetulu
79,Noumea,NC,84.2,scattered clouds,-22.2763,166.4572,Noumea
81,San Cristobal,VE,82.4,broken clouds,7.7669,-72.225,San Cristobal
88,Tamandare,BR,78.46,clear sky,-8.7597,-35.1047,Tamandaré
95,Sao Joao Da Barra,BR,76.28,overcast clouds,-21.6403,-41.0511,Grussaí
97,Hilo,US,78.8,clear sky,19.7297,-155.09,Hilo
100,Hithadhoo,MV,82.2,overcast clouds,-0.6,73.0833,Addu City
101,Manacapuru,BR,84.2,moderate rain,-3.2997,-60.6206,Manacapuru
108,Concordia,AR,78.8,clear sky,-31.393,-58.0209,Salto
109,Sola,VU,81.43,broken clouds,-13.8833,167.55,Sola
111,Arraial Do Cabo,BR,75.97,light rain,-22.9661,-42.0278,Cabo Frio
