City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mataura,NZ,-46.1927,168.8643,73.78,49,27,3.11,scattered clouds
1,Punta Arenas,CL,-53.15,-70.9167,53.6,47,0,26.46,clear sky
2,Cockburn Town,TC,21.4612,-71.1419,80.6,69,40,11.5,scattered clouds
3,Zyryanka,RU,65.75,150.85,-23.17,85,57,3.36,broken clouds
4,Solnechnyy,RU,50.7214,136.6319,-12.84,84,100,3.0,overcast clouds
5,Rikitea,PF,-23.1203,-134.9692,79.07,69,5,12.66,clear sky
6,Busselton,AU,-33.65,115.3333,61.0,77,95,1.99,overcast clouds
7,Calderitas,MX,18.55,-88.25,80.6,74,40,10.36,scattered clouds
8,Deputatskiy,RU,69.3,139.9,-24.83,88,94,1.32,overcast clouds
9,Milkovo,RU,54.7167,158.6167,-0.83,88,99,0.63,overcast clouds
10,Sesheke,ZM,-17.4759,24.2968,67.8,95,96,2.77,moderate rain
11,Tuktoyaktuk,CA,69.4541,-133.0374,-31.0,68,75,8.05,broken clouds
12,Mar Del Plata,AR,-38.0023,-57.5575,73.0,49,0,5.75,clear sky
13,Port Elizabeth,ZA,-33.918,25.5701,69.8,94,90,8.05,overcast clouds
14,Poshekhonye,RU,58.4993,39.1353,-0.78,92,100,8.05,overcast clouds
15,Ushuaia,AR,-54.8,-68.3,46.4,76,75,25.32,broken clouds
16,Bredasdorp,ZA,-34.5322,20.0403,60.8,94,7,2.3,clear sky
17,Puerto Ayora,EC,-0.7393,-90.3518,82.4,74,40,5.75,scattered clouds
18,South Lake Tahoe,US,38.9332,-119.9844,55.4,20,1,5.75,clear sky
19,Atuona,PF,-9.8,-139.0333,79.39,81,4,18.39,light rain
20,Vila Franca Do Campo,PT,37.7167,-25.4333,55.99,94,75,3.44,broken clouds
21,Georgetown,MY,5.4112,100.3354,79.0,83,20,6.06,few clouds
22,Barrow,US,71.2906,-156.7887,-9.4,70,75,13.8,mist
23,Aldan,RU,58.6031,125.3894,-24.43,86,100,1.63,overcast clouds
24,Avarua,CK,-21.2078,-159.775,86.0,66,75,13.8,broken clouds
