City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rikitea,PF,2021-02-04 17:54:00,-23.1203,-134.9692,78.26,69,99,11.05
1,Lebu,CL,2021-02-04 17:54:00,-37.6167,-73.65,71.28,51,1,5.53
2,Khatanga,RU,2021-02-04 17:54:00,71.9667,102.5,-30.86,79,0,8.84
3,Puerto Ayora,EC,2021-02-04 17:54:00,-0.7393,-90.3518,86.0,70,0,19.57
4,Yellowknife,CA,2021-02-04 17:50:02,62.456,-114.3525,-24.0,68,20,10.36
5,Upington,ZA,2021-02-04 17:54:00,-28.4478,21.2561,95.0,13,20,5.75
6,Mataura,NZ,2021-02-04 17:54:01,-46.1927,168.8643,40.98,93,29,3.71
7,Thompson,CA,2021-02-04 17:54:01,55.7435,-97.8558,-9.4,77,90,11.5
8,Saint-Philippe,RE,2021-02-04 17:54:01,-21.3585,55.7679,82.4,65,75,6.91
9,Castro,BR,2021-02-04 17:54:01,-24.7911,-50.0119,78.04,80,41,9.89
10,Sao Joao Da Barra,BR,2021-02-04 17:53:37,-21.6403,-41.0511,89.6,48,20,20.71
11,Hermiston,US,2021-02-04 17:54:02,45.8404,-119.2895,44.01,61,75,14.97
12,Beringovskiy,RU,2021-02-04 17:54:02,63.05,179.3167,-0.78,93,100,18.72
13,Hermanus,ZA,2021-02-04 17:54:02,-34.4187,19.2345,71.01,73,40,5.99
14,Mufumbwe,ZM,2021-02-04 17:54:02,-13.6833,24.8,68.83,84,47,2.08
15,Geraldton,AU,2021-02-04 17:54:02,-28.7667,114.6,77.0,31,98,17.27
16,Marfino,RU,2021-02-04 17:54:02,55.7028,37.3822,26.6,93,90,11.18
17,Qaanaaq,GL,2021-02-04 17:54:03,77.484,-69.3632,-21.42,58,42,6.8
18,Tiksi,RU,2021-02-04 17:54:03,71.6872,128.8694,-23.03,87,98,4.05
19,Ushuaia,AR,2021-02-04 17:52:58,-54.8,-68.3,57.2,62,20,40.29
20,Port Macquarie,AU,2021-02-04 17:52:53,-31.4333,152.9167,64.4,100,76,6.46
21,Hilo,US,2021-02-04 17:52:44,19.7297,-155.09,66.99,82,90,3.44
22,Kodiak,US,2021-02-04 17:54:03,57.79,-152.4072,17.6,86,1,6.91
23,Punta Arenas,CL,2021-02-04 17:54:04,-53.15,-70.9167,64.4,42,0,35.68
24,Xinzhi,CN,2021-02-04 17:54:04,36.4989,111.7047,39.88,53,100,2.55
25,Hobart,AU,2021-02-04 17:54:04,-42.8794,147.3294,66.2,72,94,8.05
26,Bluff,NZ,2021-02-04 17:51:54,-46.6,168.3333,46.38,82,34,7.9
27,Vaini,TO,2021-02-04 17:54:04,-21.2,-175.2,77.0,100,75,4.61
28,Leningradskiy,RU,2021-02-04 17:52:06,69.3833,178.4167,-26.01,85,100,7.11
29,Lethem,GY,2021-02-04 17:54:05,3.3803,-59.7968,88.05,55,46,11.77
30,Luanda,AO,2021-02-04 17:51:33,-8.8368,13.2343,84.2,74,20,10.36
31,Lompoc,US,2021-02-04 17:54:05,34.6391,-120.4579,57.0,66,1,7.96
32,Airai,TL,2021-02-04 17:54:05,-8.9266,125.4092,60.3,100,100,3.76
33,Dikson,RU,2021-02-04 17:54:05,73.5069,80.5464,-8.72,91,100,10.04
34,Burnie,AU,2021-02-04 17:54:05,-41.0667,145.9167,62.46,84,96,12.73
35,New Norfolk,AU,2021-02-04 17:52:06,-42.7826,147.0587,66.2,72,92,8.05
36,Bengkulu,ID,2021-02-04 17:54:05,-3.8004,102.2655,75.81,86,100,4.61
37,Kapaa,US,2021-02-04 17:54:05,22.0752,-159.319,60.8,82,75,5.75
38,Bathsheba,BB,2021-02-04 17:54:05,13.2167,-59.5167,84.2,58,40,20.71
39,Bucerias,MX,2021-02-04 17:54:06,20.75,-105.3333,77.0,44,1,3.44
40,Georgetown,MY,2021-02-04 17:51:58,5.4112,100.3354,77.0,69,20,6.42
41,Williams Lake,CA,2021-02-04 17:54:06,52.1415,-122.1445,27.0,93,90,6.91
42,Luderitz,NA,2021-02-04 17:54:06,-26.6481,15.1594,72.88,53,0,24.52
43,Hambantota,LK,2021-02-04 17:54:06,6.1241,81.1185,76.95,73,100,19.89
44,Fortuna,US,2021-02-04 17:54:06,40.5982,-124.1573,44.01,100,20,3.44
45,San Patricio,US,2021-02-04 17:54:06,28.017,-97.5169,78.01,64,40,19.57
46,Olafsvik,IS,2021-02-04 17:54:06,64.8945,-23.7142,39.06,77,100,38.12
47,Kula,TR,2021-02-04 17:52:23,38.5473,28.6498,47.35,72,0,2.04
48,Maloy,NO,2021-02-04 17:54:07,61.9353,5.1136,24.8,58,40,11.5
49,Chokurdakh,RU,2021-02-04 17:52:07,70.6333,147.9167,-5.93,86,0,19.62
50,Bredasdorp,ZA,2021-02-04 17:54:07,-34.5322,20.0403,69.8,64,84,10.36
51,Edremit,TR,2021-02-04 17:51:54,39.5961,27.0244,51.8,93,0,4.61
52,Torbay,CA,2021-02-04 17:54:08,47.6666,-52.7314,48.2,100,90,5.75
53,Albany,US,2021-02-04 17:52:24,42.6001,-73.9662,36.0,49,10,3.0
54,Jamestown,US,2021-02-04 17:52:36,42.097,-79.2353,32.0,64,1,3.44
55,Tual,ID,2021-02-04 17:54:08,-5.6667,132.75,83.01,78,98,23.87
56,Lata,PT,2021-02-04 17:54:08,40.1629,-8.3327,57.99,77,95,2.04
57,Busselton,AU,2021-02-04 17:51:57,-33.65,115.3333,55.0,66,0,12.19
58,Laguna,US,2021-02-04 17:49:17,38.421,-121.4238,48.99,65,1,9.22
59,Matay,EG,2021-02-04 17:50:20,28.419,30.7792,60.91,69,32,14.76
60,East London,ZA,2021-02-04 17:54:08,-33.0153,27.9116,71.6,83,75,3.44
61,Provideniya,RU,2021-02-04 17:52:12,64.3833,-173.3,-11.99,86,99,26.6
62,Tampin,MY,2021-02-04 17:54:09,2.4701,102.2302,75.2,83,20,4.61
63,Udachnyy,RU,2021-02-04 17:52:27,66.4167,112.4,-34.11,81,91,4.79
64,Biak,ID,2021-02-04 17:54:09,-0.9131,122.8766,76.64,78,100,2.73
65,Butaritari,KI,2021-02-04 17:51:54,3.0707,172.7902,80.29,84,100,14.25
66,Upernavik,GL,2021-02-04 17:54:03,72.7868,-56.1549,-9.58,72,98,4.09
67,Libertador General San Martin,AR,2021-02-04 17:54:09,-23.8064,-64.7876,89.01,47,44,1.99
68,Arman,RU,2021-02-04 17:54:09,59.7,150.1667,-5.4,81,92,14.47
69,Kulhudhuffushi,MV,2021-02-04 17:54:09,6.6221,73.07,81.81,74,77,8.46
70,Longyearbyen,SJ,2021-02-04 17:52:17,78.2186,15.6401,17.6,62,40,14.97
71,Tautira,PF,2021-02-04 17:54:10,-17.7333,-149.15,80.6,74,20,2.3
72,Saint George,US,2021-02-04 17:53:04,37.1041,-113.5841,50.0,35,0,3.94
73,San Cristobal,VE,2021-02-04 17:50:57,7.7669,-72.225,95.0,31,20,9.22
74,Fort William,GB,2021-02-04 17:54:10,56.8165,-5.1121,37.0,91,100,4.0
75,Kautokeino,NO,2021-02-04 17:54:10,69.0125,23.0412,14.11,93,47,10.33
76,Salalah,OM,2021-02-04 17:54:10,17.0151,54.0924,75.2,69,40,2.3
77,Port Elizabeth,ZA,2021-02-04 17:52:27,-33.918,25.5701,71.6,78,20,5.75
78,Souillac,MU,2021-02-04 17:54:10,-20.5167,57.5167,80.6,74,20,9.22
79,Puerto Escondido,MX,2021-02-04 17:54:10,15.85,-97.0667,84.2,74,40,4.61
80,Tuatapere,NZ,2021-02-04 17:52:27,-46.1333,167.6833,44.87,89,10,4.21
81,Te Anau,NZ,2021-02-04 17:52:36,-45.4167,167.7167,48.11,88,1,0.96
82,Kaeo,NZ,2021-02-04 17:52:44,-35.1,173.7833,60.01,92,52,5.01
83,Toora-Khem,RU,2021-02-04 17:54:11,52.4675,96.11,15.4,94,100,3.13
84,Tasiilaq,GL,2021-02-04 17:52:04,65.6145,-37.6368,26.6,80,90,18.41
85,Khani,GE,2021-02-04 17:54:11,41.9563,42.9566,44.6,70,90,5.75
86,Barguzin,RU,2021-02-04 17:54:11,53.6167,109.6167,3.47,85,69,5.08
87,Dunedin,NZ,2021-02-04 17:54:11,-45.8742,170.5036,52.0,76,10,8.68
88,Bayeux,BR,2021-02-04 17:54:11,-7.125,-34.9322,89.6,55,20,12.66
89,Gagra,GE,2021-02-04 17:54:11,43.3283,40.2239,53.6,54,90,4.47
90,Hithadhoo,MV,2021-02-04 17:54:11,-0.6,73.0833,82.47,76,73,10.96
91,Kruisfontein,ZA,2021-02-04 17:54:12,-34.0033,24.7314,70.0,84,61,3.0
92,Cape Coast,GH,2021-02-04 17:54:12,5.1053,-1.2466,81.99,80,6,12.82
93,Saskylakh,RU,2021-02-04 17:52:12,71.9167,114.0833,-41.35,75,0,4.56
94,Mayumba,GA,2021-02-04 17:54:12,-3.432,10.6554,80.46,86,60,7.0
95,Koratla,IN,2021-02-04 17:54:12,18.8167,78.7167,67.23,32,0,5.68
96,Chicama,PE,2021-02-04 17:54:12,-7.8447,-79.1469,71.6,83,40,9.22
97,Juneau,US,2021-02-04 17:54:12,58.3019,-134.4197,28.4,86,90,3.42
98,Cabo San Lucas,MX,2021-02-04 17:49:32,22.8909,-109.9124,81.0,36,20,3.44
99,Cape Town,ZA,2021-02-04 17:50:13,-33.9258,18.4232,71.6,68,0,18.41
100,Avarua,CK,2021-02-04 17:54:13,-21.2078,-159.775,78.8,89,100,2.3
101,Kaitangata,NZ,2021-02-04 17:52:02,-46.2817,169.8464,44.02,90,1,6.98
102,Pacific Grove,US,2021-02-04 17:53:01,36.6177,-121.9166,54.0,76,1,5.75
